search_string,predict_under_code,line_no,similarity,filepath
"// Assume that it's an attribute for now. // It will/could become a reference if the type resolves to an EClass. //","EAttribute eAttribute = EcoreFactory.eINSTANCE.createEAttribute();",1581,0.53125,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.importer.java/src/org/eclipse/emf/importer/java/builder/JavaEcoreBuilder.java
"// Do nothing for now, and avoid propagating the exception.   // How should builders handle cancel?","return eSuperTypes;",1854,0.23655913978494625,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/impl/EClassImpl.java
"// this is a fall-back, however, this should never be called","return node.toString();",846,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/ASTFacadeHelper.java
"// TODO fix the space above","genModel.emitSortedImports();",4843,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/templates/model/Class.java
"// TODO REMOVE THIS BOGUS EMPTY LINE","stringBuffer.append(TEXT_146);",971,0.7894736842105263,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/templates/model/PackageClass.java
"// TODO handle class cast exception better.","EReference eOpposite = (EReference)eClass.getEStructuralFeature(oppositeName);",427,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.importer.java/src/org/eclipse/emf/importer/java/builder/JavaEcoreBuilder.java
"// I don't know if we should be run this deferred  // because we might have to give the editor a chance to process the viewer update events  // and hence to update the views first. //  //","Runnable runnable =",844,0.6575342465753424,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.editor/src/org/eclipse/emf/ecore/presentation/EcoreEditor.java
"// This is a big festering hack to make the images the right size from the start. //","org.eclipse.swt.widgets.TableItem item = new org.eclipse.swt.widgets.TableItem(table, SWT.NULL);",2357,0.9848484848484849,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.mapping.ui/src/org/eclipse/emf/mapping/presentation/MappingEditor.java
"// EATM Demand create metadata; needs to depend on processing mode...","String factoryNamespace = extendedMetaData.getNamespace(factory.getEPackage());",2321,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/XMLHandler.java
"// TODO This is really quite attrocious since there is code that will assume an iterator that returns strings!","return (ListIterator<Element>)(ListIterator<?>)new SegmentIterator();",470,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/StringSegment.java
"//TBD return (user selected subset?) of referenced packages that contain super classes of classes in this package.","return result;",3427,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/impl/GenPackageImpl.java
"// call the workaround","((ASTFacadeHelper.ASTRewriteWithRemove)rewriter).remove(node, property, oldValue);",730,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/ASTJNode.java
"// //TBD rethink where exactly some of the following methods belong (GenModel or GenPackage) //","public String getEditPluginClassName()",3332,0.9746835443037974,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/impl/GenPackageImpl.java
"// if there are multiple variables in declaration,  // separate this variable fragment into a separate declaration","performSplit();",182,0.6142857142857143,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/ASTJField.java
"// EATM this would be wrong.","return name;",662,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/XMLHelperImpl.java
"// REVISIT: Remove this code.","/** for (int i = 0; i < portStr.length(); i++) {",2180,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/xml/type/internal/DataValue.java
"// The label is not used. //","super("");",53,0.9523809523809523,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.edit.ui/src/org/eclipse/emf/edit/ui/action/CommandActionHandler.java
"// Motif kludge: we would get something random instead of null. //","if (IS_MOTIF) return null;",382,0.9814814814814815,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.edit.ui/src/org/eclipse/emf/edit/ui/dnd/EditingDomainViewerDropAdapter.java
"// TODO So what should be the eType be now? //","eType = getBasicType("EString");",2180,0.9714285714285714,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.importer.rose/src/org/eclipse/emf/importer/rose/builder/RoseEcoreBuilder.java
"// This runs the operation, and shows progress. // (It appears to be a bad thing to fork this onto another thread.) //","new ProgressMonitorDialog(activeEditorPart.getSite().getShell()).run(true, true, operation);",419,0.72,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore.ui/src/org/eclipse/emf/codegen/ecore/genmodel/presentation/GenModelActionBarContributor.java
"// EATM Kind of hacky.","String typeName = extendedMetaData.getName(eClass);",1352,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/XMLHandler.java
"// This is a kludge to deal with enumerators, which crash the doSwitch. //","if (object instanceof EObject && ((EObject)object).eClass() == null)",138,0.9833333333333333,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.edit/src/org/eclipse/emf/edit/tree/provider/TreeItemProviderAdapterFactory.java
"// This is copied from ItemProviderAdapterFactory. //","protected String crop(String text)",238,0.9782608695652174,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.edit/src/org/eclipse/emf/edit/provider/ItemPropertyDescriptor.java
"// EATM This might be better written as a single loop for the EObject case? //","if (isEObject())",513,0.9838709677419355,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/util/DelegatingEcoreEList.java
"// Second alternative should be getModelProject()?","None",None,None,None
"// TODO Hack that should be removed.","if (marker.exists() && marker.getType().equals(EValidator.MARKER))",1591,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore.ui/src/org/eclipse/emf/codegen/ecore/genmodel/presentation/GenModelEditor.java
"// TODO // Specialize this to return a resource locator for messages specific to this validator. // Ensure that you remove @generated or mark it @generated NOT","return super.getResourceLocator();",213,0.7211538461538461,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/tests/org.eclipse.emf.test.tools/data/ant.expected/models/5.0/reload/library.xsds/src/org/examples/library/elements/util/ElementsValidator.java
"// TODO // I'm concerned that folders will often return 401 or even 403. // So should we consider something to exist even though access if unauthorized or forbidden? //","return responseCode == HttpURLConnection.HTTP_OK;",313,0.5520833333333334,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/resource/impl/URIHandlerImpl.java
"// Only file-scheme URIs will be re-encoded. If a URI was decoded in the workaround // above, and Platform.resolve() didn't return a file-scheme URI, then this will return // an decoded URI. //","URI result =",232,0.6,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.common/src/org/eclipse/emf/common/CommonPlugin.java
"// This functionality should eventually go away, as it is replaced by model exporters. // We'll just delegate to the deprecated GenPackage method. The monitor isn't used, so we won't pass it. //","genPackage.generateSchema();",233,0.6212765957446809,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/generator/GenPackageGeneratorAdapter.java
"// The eAnnotations and eGenericType are possible containment references.  // We'll move them instead of copying //","if (eReference == EcorePackage.Literals.ETYPED_ELEMENT__EGENERIC_TYPE)",249,0.7975460122699386,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/EMOFHelperImpl.java
"// Note: Registry based authority is being removed from a // new spec for URI which would obsolete RFC 2396. If the // spec is added to XML errata, processing of reg_name // needs to be removed. - mrglavas.","else if (isValidRegistryBasedAuthority(p_uriSpec)) {",2207,0.4444444444444444,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/xml/type/internal/DataValue.java
"// temporary structure to hold node's attributes + namespaces in scope","AttributesImpl attrs = new AttributesImpl();",432,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/XMLLoadImpl.java
"// HACK: reading encoding","String encoding = null;",124,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/XMLLoadImpl.java
"// Because of the old factoring approach in the create method,  // it might be the case that the state of the old value has changed by the time we get here, // and in that case, we don't want to duplicate the removals in this code. //","if (oldValue instanceof Collection)",605,0.4369747899159664,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.edit/src/org/eclipse/emf/edit/command/SetCommand.java
"// REVISIT: Remove this code. // Store port value as string instead of integer.","/** for (int i = 0; i < portStr.length(); i++) {",2180,0.5494505494505495,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/xml/type/internal/DataValue.java
"// TODO // This is faster than many charAt() calls. //","private static class CharArrayThreadLocal extends ThreadLocal<char[]>",93,0.9,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/xml/type/util/XMLTypeUtil.java
"//REVISIT: do we really need to support block names as in Unicode 3.1 //         or we can just create all the names in IsBLOCKNAME format (XML Schema REC)? //","StringBuffer buffer = new StringBuffer(50);",6660,0.6333333333333333,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/xml/type/internal/RegEx.java
"// Bubble sort // Why? -- In many cases, //         this.ranges has few elements.","for (int i = this.ranges.length-4;  i >= 0;  i -= 2) {",4281,0.3333333333333333,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/xml/type/internal/RegEx.java
"// Per Schema 1.0 it is not clear if the result returned should be a valid URI.  // For the future if we plant to support IRIs then it is better not to massage // the initialValue.  // We should thought consider where would be the best way to validate anyURI values -- EL","/*initialValue = collapseWhiteSpace(initialValue);",84,0.45161290322580644,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/xml/type/impl/XMLTypeFactoryImpl.java
"// Note that the way they are sorted, the values of index[i++] always increase, // so the objects are added from right to left in the list. // // EATM  TODO // // We could make this more efficient by grouping the adds when indices increment by one, // so that a single grouped notification would result. //","int i = 0;",455,0.42038216560509556,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.edit/src/org/eclipse/emf/edit/command/RemoveCommand.java
"// TODO deprecate (since no longer used by getEditPluginClass(), getEditorPluginClass(), getTestSuiteClass()) //","None",None,None,None
"// if there are multiple variables in declaration,  // separate this variable fragment into a separate declaration","performSplit();",182,0.6142857142857143,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/ASTJField.java
"//DMS factor this into a method? Use a non-static subclass?","int style = 0;",399,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/generator/GenBaseGeneratorAdapter.java
"//DMS this doesn't really produce nice output. //","diagnostic.add(BasicDiagnostic.toDiagnostic(exception));",360,0.975609756097561,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/generator/AbstractGeneratorAdapter.java
"//FB TBD filter out volatile and other inappropriate links?","return genFeature.isProperty();",1752,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/impl/GenClassImpl.java
"// I don't know if this should be run this deferred // because we might have to give the editor a chance to process the viewer update events // and hence to update the views first. // //","Runnable runnable =",843,0.43157894736842106,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.editor/src/org/eclipse/emf/ecore/presentation/EcoreEditor.java
"// TODO processing instructions are not sent to recordValues","currentNode.appendChild(document.createProcessingInstruction(target, data));",2400,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/XMLSaveImpl.java
"// TODO comments are not sent to recordValues","currentNode.appendChild(document.createComment(stringValue));",2478,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/XMLSaveImpl.java
"// TODO Ignore for now.","}",471,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.importer.java/src/org/eclipse/emf/importer/java/builder/JavaEcoreBuilder.java
"// TODO handle situation when ASTJNode is removed (compilationUnit is null)","}",694,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/ASTJNode.java
"//TBD return super classes of classes in this package that come from a delegate package.","return result;",3436,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/impl/GenPackageImpl.java
"// if current char is comma, insert line break after it // // we should be able to find the comma because the range for enum constants includes all trailing comments up to the separator // if TargetSourceRangeComputer of ASTRewrite changes, this logic should change to skip comments // see org.eclipse.emf.codegen.merge.java.facade.ast.CommentAwareSourceRangeComputer#getEnumConstantSourceRange(ASTNode)","if (commaPosition >=0 && charContent[commaPosition] == ',')",1200,0.38443935926773454,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/ASTJCompilationUnit.java
"// TODO translation","throw new IllegalArgumentException("Invalid XMI namespace: '"+namespace+"'");",108,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/XMIResourceImpl.java
"// TODO Binary incompatibility; an old override must override putAll.","Class<?> valueClass = value.getClass();",309,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/impl/EPackageRegistryImpl.java
"// This runs the options, and shows progress. // (It appears to be a bad thing to fork this onto another thread.) //","new ProgressMonitorDialog(getSite().getShell()).run(true, false, operation);",1488,0.5757575757575758,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.editor/src/org/eclipse/emf/ecore/presentation/EcoreEditor.java
"// we should be able to find the comma because the range for enum constants includes all preceding comments up to the previous constant // if TargetSourceRangeComputer of ASTRewrite changes, this logic should change to skip comments // see org.eclipse.emf.codegen.merge.java.facade.ast.CommentAwareSourceRangeComputer#getEnumConstantSourceRange(ASTNode)","if (commaPosition >=0 && charContent[commaPosition] == ',')",1199,0.5258215962441315,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/ASTJCompilationUnit.java
"// TODO we should generate this.","if (false)",1617,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.editor/src/org/eclipse/emf/ecore/presentation/EcoreEditor.java
"// TODO What about the instance type name and the fact that we should be matching its type argument structure? // If they match so far, we must assume they are okay and then check all the arguments. //","return equalTypeArguments(eGenericType.getETypeArguments(), eBound.getETypeArguments(), substitutions);",3520,0.7165354330708661,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/util/EcoreValidator.java
"// Set of options that we want to control","javaCoreOptions.put("org.eclipse.jdt.core.incompleteClasspath", "warning");",427,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/ASTFacadeHelper.java
"// get the end position of the range for the previous node","SourceRange range = computeDefaultSourceRange(previousNode);",225,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/CommentAwareSourceRangeComputer.java
"// adding 'at' allows distinguish annotations from other members // (i.e. inner class verses annotation of a class) //","name = "@" + ASTFacadeHelper.toString(getASTNode().getTypeName());",84,0.717948717948718,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/ASTJAnnotation.java
"// Get the adapter from the factory. //","ITableItemLabelProvider tableItemLabelProvider = (ITableItemLabelProvider)adapterFactory.adapt(object, ITableItemLabelProvider.class);",208,0.967741935483871,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.edit/src/org/eclipse/emf/edit/provider/AdapterFactoryItemDelegator.java
"// No methods added.","}",162,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/resource/impl/URIConverterImpl.java
""/*   * Javadoc copied from interface.   */"","@Override",117,0.9032258064516129,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/impl/EObjectImpl.java
"// add trailing comments if necessary","sourceRange = extendRangeForward(includeTrailingCommentMapper.get(node), sourceRange);",763,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/CommentAwareSourceRangeComputer.java
"// If the target is read-only, we can ask the platform to release it. //","validateEdit(targetFile, createMonitor(monitor, 1));",674,0.9824561403508771,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/generator/AbstractGeneratorAdapter.java
"// If entries don't have the same feature, the feature maps aren't equal. //","EStructuralFeature feature = featureMap1.getEStructuralFeature(i);",2312,0.9838709677419355,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/util/EcoreUtil.java
"// Merge with an existing file. //","PropertyMerger propertyMerger = new PropertyMerger();",751,0.9629629629629629,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/generator/AbstractGeneratorAdapter.java
"// Walk up the superpackages, collecting the package names. // Because empty packages are ommitted from the GenModel, we need to walk up the EPackages. //","None",None,None,None
"// Any features that delegate to features in this package. //","List<GenFeature> delegated = new ArrayList<GenFeature>();",3378,0.98,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/impl/GenPackageImpl.java
"// See java.lang.Class.getName() javadoc for explanation of array encoding.","int arrayDepth = 0;",396,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/impl/Literals.java
"// Additional useful character classes, including characters valid in certain // URI components and separators used in parsing them out of a string.  // // | ucschar | escaped","private static final long SEGMENT_CHAR_HI = UNRESERVED_HI | highBitmask(";:@&=+$,");  // | ucschar | escaped",257,0.6355140186915887,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.common/src/org/eclipse/emf/common/util/URI.java
""/**   * Calls <code>caseXXX</code> for each class of the model until one returns a non null result; it yields that result.   * <!-- begin-user-doc -->   * <!-- end-user-doc -->   * @return the first non-null result returned by a <code>caseXXX</code> call.   * @generated   */"","public class FeatureMapEntryItemProvider",43,0.17959183673469387,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.change.edit/src/org/eclipse/emf/ecore/change/provider/FeatureMapEntryItemProvider.java
"// If the target is read-only, we can ask the platform to release it, and it may be updated in the process. //","if (isReadOnly(targetFile) && validateEdit(targetFile, createMonitor(monitor, 1)))",765,0.9885057471264368,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/generator/AbstractGeneratorAdapter.java
"// find start position of farthest preceding comment","None",None,None,None
"// was the details button pressed?","toggleDetailsArea();",259,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.common.ui/src/org/eclipse/emf/common/ui/dialogs/DiagnosticDialog.java
"// Set up the tree viewer. //","contentOutlineViewer.setContentProvider(new AdapterFactoryContentProvider(adapterFactory));",1311,0.9545454545454546,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.editor/src/org/eclipse/emf/ecore/presentation/EcoreEditor.java
"// Process the children of the UnitTreeNode recursively. //","for (UnitTreeNode subNode : node.getNodes())",320,0.98,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.importer.rose/src/org/eclipse/emf/importer/rose/builder/RoseUtil.java
"// Create a code formatter for this compilation unit, if needed. //","Object codeFormatter = getGenerator().getOptions().codeFormatting ?",1001,0.9818181818181818,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/generator/AbstractGeneratorAdapter.java
"// If the name isn't qualified, it might be a primitive or from java.lang. Otherwise, assume it's in the current // package and use the nsPrefix for the qualified package name. //","boolean primitive = false;",2700,0.7717842323651453,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.importer.java/src/org/eclipse/emf/importer/java/builder/JavaEcoreBuilder.java
